shape,ratio_1_r100-150,ratio_1_r100-200,ratio_1_r150-200,ratio_2_r100-150,ratio_2_r100-200,ratio_2_r150-200
flower5,-0.020398788070366564,-0.017654898790371288,0.017294762320938958,-1.2469759156807312,-1.2461939243224065,1.2464531934197265
flower6,-0.21347304531810354,-0.21015985001838264,0.20994295771893973,-1.515450257337381,-1.516740842220034,1.5164540969783706
ellipse,0.5823005965758604,0.5848782468765489,-0.583388519347881,1.0778746680580615,1.074980428699276,-1.07576746085545
circle,1.3091074876387245,1.2995735229632783,-1.3023622089066584,0.6017341463806106,0.6050420433956627,-0.603076587448692
rectangle,0.29539012241664225,0.3013549182899964,-0.29852952495567076,0.6798230506094021,0.6801817462155315,-0.6801399952243455
triangle,-1.9529263732429145,-1.9579919393209262,1.9570425331704833,0.40299430797003777,0.4027305482321719,-0.4039232468696097
